code_metier;nom_usuel;adresse;code_postal;code_insee;code_dpt;code_reg;nom_commune;x_wgs84;y_wgs84
SSP00073780101;SOREQUA;4 RUE ANDRÉ AMPÈRE;95310;95572;95;11;SAINT OUEN L'AUMONE;2.1375709;49.05107
SSP04011000101;ancienne concession de Vaucron;;83680;83094;83;93;LE PLAN DE LA TOUR;6.5107684;43.368088
SSP00051630101;UNIMETAL NORMANDIE;111 Voie Portuaire;14120;14437;14;28;MONDEVILLE;-0.31395194;49.18925
SSP00050190101;FRICHE INDUSTRIELLE DE SEPTEMES;ROUTE NATIONALE 8;13240;13106;13;93;SEPTEMES LES VALLONS;5.3730855;43.397533
SSP00057490101;Ancien site minier uranifère - ECARPIERE;ECARPIERE;44190;44063;44;52;GETIGNE;-1.2082447;47.09605
SSP00063550101;Ancien CET Les Epesses;LE CERISIER;85590;85082;85;52;LES EPESSES;-0.9261648;46.903465
SSP00069240101;Ancienne décharge Prairie des Mauves;PRAIRIE DES MAUVES;44300;44109;44;52;NANTES;-1.5062593;47.223587
SSP00062510101;SVR-SKF;ALLÉE DES TREIZE FEMMES;85200;85092;85;52;FONTENAY LE COMTE;-0.7738876;46.4557
SSP00024650101;Usine La Providence (AMREF) - REHON CUTRY LEXY;RUE AU CHÊNE;54430;54451;54;44;REHON;5.7462916;49.501446
SSP00054450101;Etang d'Engrenier (zone nord);ETANG D''ENGRENIER;13270;13039;13;93;FOS SUR MER;4.973699;43.443283
SSP00051630101;UNIMETAL NORMANDIE;111 Voie Portuaire;14120;14327;14;28;HEROUVILLE SAINT CLAIR;-0.31395194;49.18925
SSP04011000101;ancienne concession de Vaucron;;83680;83063;83;93;LA GARDE FREINET;6.5107684;43.368088
SSP00066230201;DASI Mercier;IMPASSE DES TUPINIERS;69290;69069;69;84;CRAPONNE;4.708299;45.743687
SSP00019480101;ALUMINIUM PECHINEY (DECHARGE INTERNE DE MASSADA);ROUTE DE MARC;09220;09030;09;76;AUZAT;1.4672741;42.74638
SSP00020680101;Parking  ESPACE JEAN JAURES (Ancienne usine à gaz);11 AVENUE JEAN JAURÈS;46100;46102;46;76;FIGEAC;2.0305471;44.6065
SSP00021730101;SODAIN;SAIX;81710;81273;81;76;SAIX;2.1421993;43.592598
SSP00029800101;AUTOPASSION ex Station BP;99-101 RUE ANATOLE FRANCE;92300;92044;92;11;LEVALLOIS PERRET;2.2833319;48.89356
SSP00030050101;TRANCEL (BAIL);ESPLANADE ST MARCEL;59330;59291;59;32;HAUTMONT;3.9136763;50.25092
SSP00036430101;MARGER INDUSTRIES;ZONE ARTISANALE DE LA GARE;49140;49307;49;52;SAINT MATHURIN SUR LOIRE;-0.40299794;47.434547
SSP00036260101;Matra Romo 1;1 FAUBOURG ST ROCH;41200;41194;41;24;ROMORANTIN LANTHENAY;1.7493852;47.356018
SSP00016150101;Ancienne décharge des Oriais;LES ORIAIS;35320;35321;35;53;SAULNIERES;-1.5818485;47.90841
SSP00041720101;AXTER;5 CHEMIN DE HALAGE;60460;60513;60;32;PRECY SUR OISE;2.3847108;49.204155
SSP00032850101;BP Porte de la Vilette;14 BIS AVENUE DE LA PORTE DE LA VILLETTE;;75056;75;11;PARIS;2.3872342;48.899033
SSP00042120101;EDF - Ancienne centrale thermique;RUE DE SÈTE;67200;67482;67;44;STRASBOURG;7.7953706;48.544186
SSP00044690101;TOTAL Relais de la Scarpe;643 BOULEVARD JEANNE D''ARC;59500;59178;59;32;DOUAI;3.063864;50.369232
SSP00044890101;DCA-MORY-SHIPP (DMS);490 Rte Des Gardins;76490;76418;76;28;MAULEVRIER SAINTE GERTRUDE;0.71542704;49.562172
SSP00045340101;POLMARG;14 RUE DES AMOUREUX;27400;27375;27;28;LOUVIERS;1.1582608;49.21386
SSP00048810101;EDF GDF SERVICES INDRE EN BERRY;8 RUE DU GAZ;36200;36006;36;24;ARGENTON SUR CREUSE;1.5256287;46.585846
SSP00045110101;Forage fuyard 945 (EM 4 - Pechelbronn);DANS UNE PARCELLE AGRICOLE PARCELLE 232 SECTION 28;67250;67254;67;44;KUTZENHAUSEN;7.8389544;48.93172
SSP00062750101;SUNCLEAR;111 ROUTE DE LA LIBERATION;77340;77373;77;11;PONTAULT COMBAULT;2.612477;48.78123
SSP00064110101;CASTEL FRERES Rezé;106 RUE DE LA BASSE-ILE;44400;44143;44;52;REZE;-1.5666792;47.196587
SSP00064390101;FACOUEST ex R.G.J;9 RUE DU FONDEUR;44800;44162;44;52;SAINT HERBLAIN;-1.6465216;47.228592
SSP00064520101;TRELLEBORG NANTES;RUE DU TERTRE;44470;44026;44;52;CARQUEFOU;-1.5029305;47.264633
SSP00069530101;PARIS MAINE;307 ROUTE DE VANNES;44800;44162;44;52;SAINT HERBLAIN;-1.6032687;47.245407
SSP00069970101;SOCIETE CHIMIQUE DE LA GRANDE PAROISSE;LE BARILLAIS;44550;44103;44;52;MONTOIR DE BRETAGNE;-2.1183314;47.325397
SSP00070300101;Docks 76;1 BOULEVARD FERDINAND DE LESSEPS;76000;76540;76;28;ROUEN;1.0649669;49.445896
SSP00070640101;EX DEPOT DES DOCKS ET ALCOOLS;13 BD MARÉCHAL ALPHONSE JUIN;44300;44109;44;52;NANTES;-1.5971761;47.19765
SSP00070590101;KUNH-HUARD (ancien site rue des Vauzelles);RUE DES VAUZELLES;44110;44036;44;52;CHATEAUBRIANT;-1.3739716;47.712746
SSP00070620101;ANCIENNE CARRIERE DE PONTPIERRE;LA CARRIÈRE;44800;44162;44;52;SAINT HERBLAIN;-1.6372554;47.20976
SSP00070670101;GUERIF Père et Fils;ROUTE DE BOUCHEMAINE;49130;49278;49;52;SAINTE GEMMES SUR LOIRE;-0.59192365;47.42723
SSP00074060101;ZI Collonges (ex-Shell-Ardea);;69660;69063;69;84;COLLONGES AU MONT D'OR;4.850586;45.823006
SSP00058150101;Ancienne décharge du Hazay;LE HAZAY;22350;22032;22;53;CAULNES;-2.18397;48.29356
SSP00009290101;Ancienne décharge de Essé;LAN BRAS BOURRON;35150;35108;35;53;ESSE;-1.4237506;47.957783
SSP00008130101;Ancienne décharge de l'avenue Aristide Briand;40 AVENUE ARISTIDE BRIAND;35400;35288;35;53;SAINT MALO;-1.998311;48.64838
SSP5054390101;SHMPP St Jouin Bruneval;Port Petrolier d'Antifer;76280;76595;76;28;SAINT JOUIN BRUNEVAL;0.15474635;49.661095
SSP00009980101;Ancienne décharge des Landes d'Auvert;LES LANDES D''AUVERT;35390;35249;35;53;SAINTE ANNE SUR VILAINE;-1.8052117;47.7281
SSP00010310101;Ancienne décharge des Minières;MINIÈRES;56800;56065;56;53;GOURHEL;-2.3716905;47.94375
